time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-22 10:00:00,30.964,30.986,31.665
2015-08-22 11:00:00,30.965,30.98,31.774
2015-08-22 12:00:00,30.968,30.983,31.737
2015-08-22 13:00:00,30.97,30.983,31.734
2015-08-22 14:00:00,30.973,30.977,31.783
2015-08-22 15:00:00,30.975,30.976,31.731
2015-08-22 16:00:00,30.978,30.981,31.763
2015-08-22 17:00:00,30.986,30.987,31.746
2015-08-22 18:00:00,30.98,30.986,31.784
2015-08-22 19:00:00,30.983,30.983,31.759
2015-08-22 20:00:00,30.983,30.985,31.701
2015-08-22 21:00:00,30.977,30.988,31.736
2015-08-22 22:00:00,30.976,30.988,31.864
2015-08-22 23:00:00,30.981,30.988,31.788
2015-08-23 00:00:00,30.987,30.982,31.705
2015-08-23 01:00:00,30.986,30.98,31.682
2015-08-23 02:00:00,30.983,30.977,31.702
2015-08-23 03:00:00,30.985,30.977,31.719
2015-08-23 04:00:00,30.988,30.978,31.776
2015-08-23 05:00:00,30.988,30.973,31.65
2015-08-23 06:00:00,30.988,30.976,31.728
2015-08-23 07:00:00,30.982,30.976,31.853
2015-08-23 08:00:00,30.98,30.983,32.121
2015-08-23 09:00:00,30.977,31.001,31.849
2015-08-23 10:00:00,30.977,31.004,31.921
2015-08-23 11:00:00,30.978,31.004,31.845
2015-08-23 12:00:00,30.973,31.004,31.765
2015-08-23 13:00:00,30.976,30.987,31.813
2015-08-23 14:00:00,30.976,30.988,31.77
2015-08-23 15:00:00,30.983,30.974,31.952
2015-08-23 16:00:00,31.001,30.979,32.028
2015-08-23 17:00:00,31.004,30.978,32.166
2015-08-23 18:00:00,31.004,30.982,32.115
2015-08-23 19:00:00,31.004,30.985,32.183
2015-08-23 20:00:00,30.987,31.003,32.19
2015-08-23 21:00:00,30.988,31.033,32.184
2015-08-23 22:00:00,30.974,31.085,32.056
2015-08-23 23:00:00,30.979,31.113,32.097
2015-08-24 00:00:00,30.978,31.092,32.02
2015-08-24 01:00:00,30.982,31.096,31.971
2015-08-24 02:00:00,30.985,31.097,32.173
